nom_produit,code_barres,marque_actuelle,marque_proposee,raison_ambiguite,justification,niveau_confiance
BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,000032412,(vide),Bio Balance,"préfixe absent des 93 marques déjà validées (l'heuristique n'a retenu que le 1er mot « BIO », jugé trop générique)","« Bio Balance » revient identiquement sur 11 des 27 produits, avec un même schéma de nommage (Bio Balance + type de soin) — cohérence interne forte, mais ce nom n'apparaît jamais seul ou confirmé ailleurs dans le document",Moyenne
LAIT BODY FASHION ANTI-VERGETURES 500ML,000030287,(vide),Body Fashion,nom composé (« Body Fashion ») non reconnu par l'heuristique basée sur le 1er mot significatif,préfixe partagé avec exactement 1 autre produit de la liste (gel douche Body Fashion) — cohérence interne mais faible volume de preuve (2 occurrences seulement),Moyenne
PACK CHATEAU ROUGE SAVON + SOIN CONCENTREE -25%,000032656,(vide),Château Rouge,"le nom commence par « PACK » et non par le nom de marque, donc raté par une détection basée sur le 1er mot","« CHATEAU ROUGE » apparaît littéralement dans le nom, et cette marque est déjà validée ailleurs dans le document sur 3 autres produits (huile, crème visage, crème jour)",Élevée
GEL DE DOUCHE BODY FASHION 850ML,000030294,(vide),Body Fashion,nom composé (« Body Fashion ») non reconnu par l'heuristique basée sur le 1er mot significatif,préfixe partagé avec exactement 1 autre produit de la liste (lait anti-vergetures Body Fashion) — cohérence interne mais faible volume de preuve (2 occurrences seulement),Moyenne
BIO BALANCE SERUM ACID SALICYLIC 30ML,000032666,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE SERUM LUMISKIN 30ML,000032667,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO OIL HLE DE SOIN F/60ML,000023814,(vide),Bio Oil,préfixe « Bio » écarté par l'heuristique car jugé trop générique,"« BIO OIL » identique en préfixe sur 3 produits de la liste, chacun ne différant que par le format (25/60/125ML) — exactement le même schéma de variantes de contenance que les autres marques du document (ex. Biolane 350ML/750ML)",Élevée
BIO OIL HLE DE SOIN F/125ML,000023811,(vide),Bio Oil,préfixe « Bio » écarté par l'heuristique car jugé trop générique,"« BIO OIL » identique en préfixe sur 3 produits de la liste, chacun ne différant que par le format (25/60/125ML)",Élevée
BIO OIL HLE DE SOIN F/25ML,000023813,(vide),Bio Oil,préfixe « Bio » écarté par l'heuristique car jugé trop générique,"« BIO OIL » identique en préfixe sur 3 produits de la liste, chacun ne différant que par le format (25/60/125ML)",Élevée
BIO BALANCE CR SUP HD ADV NIGH CERAMID NP0.2%-50ML,000032829,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE CR SUP PLUMP HYDRA UR 50ML,000032830,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE FLU SOLAIRE ANTI-TACHES SPF 50+40ML,000032953,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE FLUSOLAIRE HYDRAS PF 50+40ML,000032954,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE HC CICA VISAGE LAIT 250ML,000032955,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE CR SUP GLOW 3-0 ETHYLASC 5%+ACIDF1%,000032443,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE CR YEUX SUP HD AUCOLAGEN& VIT C20ML,000032442,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
BIO BALANCE SS ACID HYALURONIQ MULTI MOLECUL 30ML,000032444,(vide),Bio Balance,préfixe absent des 93 marques déjà validées,même gamme « Bio Balance » que 10 autres produits de la liste (voir 000032412),Moyenne
FLEUR DE BAIN GM,000027782,(vide),,"« Fleur de Bain » ressemble à un descriptif de produit (accessoire de bain), pas à un nom de marque","aucune occurrence répétée dans le document, aucun recoupement avec une marque déjà validée — conclure à une marque précise serait une supposition",Faible
HUILE BAOBAB BASSARI F50ML,000021355,(vide),,« Bassari » pourrait désigner une origine géographique/ethnique (Sénégal) plutôt qu'une marque commerciale,"occurrence unique, aucun recoupement dans le document — conclure à une marque précise serait une supposition",Faible
LAIT VALDA HUILE DE BAOBAB F/250ML,000022767,(vide),Valda,"« Valda » apparaît au 2e mot du nom (« LAIT VALDA HUILE... »), raté par une détection basée sur le 1er mot","« VALDA » est déjà une marque validée ailleurs dans le document, sur un produit sans ambiguïté (VALDA LAIT ADOUC BEURRE DE KARITE 250ML, où Valda est le 1er mot)",Élevée
RELAX PATCH DOULEUR MENSTRUEL BT3,000033190,(vide),,« Relax » est un terme descriptif courant (patch relaxant) plutôt qu'un nom de marque,"occurrence unique, aucun recoupement dans le document — conclure à une marque précise serait une supposition",Faible
PETIT OL CHVX SECS OLIV/KAR/ARG SH250ML,000032775,(vide),,abréviation « PETIT OL » non résolue par le document lui-même,"aucune autre occurrence de ce préfixe dans le document et aucune marque validée ne s'en rapproche ; l'associer à une marque connue supposerait une connaissance externe au document, ce qui n'est pas autorisé ici",Faible
PARA SPRAY ENVIRONN POUX 250ML,000031773,(vide),,« PARA » est un préfixe générique (anti-parasitaire) plutôt qu'un nom de marque,"aucune correspondance littérale avec « Parasidose » (marque déjà validée ailleurs) — un lien resterait une supposition, pas une lecture directe du document",Faible
SAVON DE MARSEILLE AMANDE DOUCE 4 X 200GRS,000031357,(vide),,"« Savon de Marseille » est une appellation de type de savon, pas un nom de marque déposée",aucun fabricant nommé dans le document pour ce produit — conclure à une marque précise serait une supposition,Faible
SAVON DE MARSEILLE GLYCERINE 4 X 200 GRS,000031358,(vide),,"« Savon de Marseille » est une appellation de type de savon, pas un nom de marque déposée",aucun fabricant nommé dans le document pour ce produit — conclure à une marque précise serait une supposition,Faible
SAVON PETIT MARSEILLE OLIVE 4X100G,000031360,(vide),,« Savon Petit Marseille » est une variante de la même appellation générique de type de savon,aucun fabricant nommé dans le document pour ce produit — conclure à une marque précise serait une supposition,Faible
PARFUM BABY COLOGNE,000031162,(vide),,"« PARFUM BABY COLOGNE » est un nom descriptif de produit, pas un nom de marque","la marque Babymed a bien une eau de Cologne dans le document (BABYMED EAU DE COLOGNE 500ML), mais le nom de ce produit ne contient littéralement pas « Babymed » — l'associer resterait une supposition, pas une lecture directe du document",Faible
