nom_produit,marque_actuellement_proposee,code_barres,prix_public,stock,raison_ambiguite,proposition_marque,niveau_confiance
BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,(vide),000032412,10800.00,1.00,"préfixe « Bio Balance » répété sur 11 produits de la liste des 27, mais absent des 93 marques retenues (l'heuristique n'a gardé que le 1er mot « BIO », jugé trop générique)",Bio Balance,Moyenne
LAIT BODY FASHION ANTI-VERGETURES 500ML,(vide),000030287,5000.00,2.00,"préfixe « Body Fashion » partagé avec le produit #030294 (gel douche), nom de marque plausible non reconnu par l'heuristique",Body Fashion,Moyenne
PACK CHATEAU ROUGE SAVON + SOIN CONCENTREE -25%,(vide),000032656,17650.00,1.00,"nom commence par « PACK » et non par « Château Rouge » — l'heuristique base sa détection sur le 1er mot, donc a raté ce pack promo de la marque déjà validée ailleurs (3 produits)",Château Rouge,Élevée
GEL DE DOUCHE BODY FASHION 850ML,(vide),000030294,3500.00,3.00,"préfixe « Body Fashion » partagé avec le produit #030287 (lait anti-vergetures), nom de marque plausible non reconnu par l'heuristique",Body Fashion,Moyenne
BIO BALANCE SERUM ACID SALICYLIC 30ML,(vide),000032666,9600.00,2.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE SERUM LUMISKIN 30ML,(vide),000032667,11434.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO OIL HLE DE SOIN F/60ML,(vide),000023814,8016.00,1.00,« Bio Oil » est une marque internationale connue (huile de soin cicatrices/vergetures) ; 3 formats (25/60/125ML) dans la liste — non reconnue par l'heuristique car « BIO » jugé trop générique,Bio Oil,Élevée
BIO OIL HLE DE SOIN F/125ML,(vide),000023811,12175.00,1.00,« Bio Oil » (voir #023814),Bio Oil,Élevée
BIO OIL HLE DE SOIN F/25ML,(vide),000023813,3450.00,1.00,« Bio Oil » (voir #023814),Bio Oil,Élevée
BIO BALANCE CR SUP HD ADV NIGH CERAMID NP0.2%-50ML,(vide),000032829,13400.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE CR SUP PLUMP HYDRA UR 50ML,(vide),000032830,13540.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE FLU SOLAIRE ANTI-TACHES SPF 50+40ML,(vide),000032953,12631.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE FLUSOLAIRE HYDRAS PF 50+40ML,(vide),000032954,12631.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
